Samples,quant_reading
G7_T0_A1_1_a,12.797
G7_T0_A1_1_b,2.373
G7_T0_A1_1_c,14.555
G7_T0_A1_1_d,4.393
G7_T0_A1_2_a,15.035
G7_T0_A1_2_b,3.976
G7_T0_A1_2_c,2.118
G7_T0_A1_2_d,4.755
G7_T0_A1_3_a,6.324
G7_T0_A1_3_b,14.006
G7_T0_A1_3_c,7.189
G7_T0_A1_3_d,1.817
G7_T0_A2_1_a,2.016
G7_T0_A2_1_b,2.801
G7_T0_A2_1_c,9.032
G7_T0_A2_1_d,9.78
G7_T0_A2_2_a,6.254
G7_T0_A2_2_b,3.517
G7_T0_A2_2_c,8.227
G7_T0_A2_2_d,6.94
G7_T0_A2_3_a,15.607
G7_T0_A2_3_b,2.787
G7_T0_A2_3_c,1.986
G7_T0_A2_3_d,2.962
G7_T0_B1_a,10.274
G7_T0_B1_b,2.67
G7_T0_B1_c,4.06
G7_T0_B1_d,6.637
G7_T0_B2_a,4.846
G7_T0_B2_b,15.043
G7_T0_B2_c,7.025
G7_T0_B2_d,2.039
G7_T0_B3_a,3.878
G7_T0_B3_b,24.449
G7_T0_B3_c,2.81
G7_T0_B3_d,2.868
G7_T0_B4_a,2.386
G7_T0_B4_b,4.592
G7_T0_B4_c,12.172
G7_T0_B4_d,4.206
G7_T0_B5_a,2.918
G7_T0_B5_b,12.727
G7_T0_B5_c,7.86
G7_T0_B5_d,10.806
G7_T0_B6_a,7.952
G7_T0_B6_b,2.144
G7_T0_B6_c,3.631
G7_T0_B6_d,5.551
G7_T0_C1_1_a,19.074
G7_T0_C1_1_b,14.586
G7_T0_C1_1_c,10.971
G7_T0_C1_1_d,29.784
G7_T0_C1_2_a,19.164
G7_T0_C1_2_b,7.857
G7_T0_C1_2_c,9.004
G7_T0_C1_2_d,11.551
G7_T0_C1_3_a,17.371
G7_T0_C1_3_b,22.895
G7_T0_C1_3_c,3.842
G7_T0_C1_3_d,9.01
G7_T0_C2_1_a,10.041
G7_T0_C2_1_b,16.893
G7_T0_C2_1_c,12.35
G7_T0_C2_1_d,10.381
G7_T0_C2_2_a,18.269
G7_T0_C2_2_b,23.8
G7_T0_C2_2_c,25.855
G7_T0_C2_2_d,21.396
G7_T0_C2_3_a,11.032
G7_T0_C2_3_b,6.07
G7_T0_C2_3_c,20.45
G7_T0_C2_3_d,16.511
G7_T0_M1_1_a,4.744
G7_T0_M1_1_b,7.03
G7_T0_M1_1_c,25.287
G7_T0_M1_1_d,12.491
G7_T0_M1_2_a,17.968
G7_T0_M1_2_b,21.108
G7_T0_M1_2_c,26.783
