Samples,PreQC,PostQC
G7_T0_M2_1_a,83878,23843
G7_T96_B2_a,91200,17835
G7_T96_M2_3_a,61641,5616
G7_T0_B4_a,64658,12949
G7_T0_A1_1_a,89544,17602
G7_T0_A2_1_a,96106,15794
G7_T0_S1_1_a,105036,19005
G7_T0_M2_1_b,68683,12627
G7_T96_B2_b,55960,10874
G7_T96_M2_3_b,44066,2734
G7_T0_B4_b,69050,12421
G7_T0_A1_1_b,46084,6368
G7_T0_A2_1_b,78652,14446
G7_T0_S1_1_b,67276,11075
G7_T0_M2_1_c,64768,12996
G7_T96_B2_c,62803,12772
G7_T96_M2_3_c,136282,19803
G7_T0_B4_c,81933,16790
G7_T0_A1_1_c,81802,16273
G7_T0_A2_1_c,79401,17299
G7_T0_S1_1_c,91848,18107
G7_T0_M2_1_d,73075,16406
G7_T96_B2_d,66589,8142
G7_T96_M2_3_d,57460,3125
G7_T0_B4_d,76144,15557
G7_T0_A1_1_d,70357,12639
G7_T0_A2_1_d,90407,18242
G7_T0_S1_1_d,69553,9033
G7_T0_M2_2_a,65098,13540
G7_T96_M2_1_a,59525,3516
G7_T0_B1_a,89066,15348
G7_T0_B5_a,62363,13513
G7_T0_A1_2_a,76830,16095
G7_T0_A2_2_a,74048,15629
G7_T0_S1_2_a,47719,7523
G7_T0_M2_2_b,69658,7343
G7_T0_B1_b,58032,11292
G7_T0_B5_b,84828,15645
G7_T0_A1_2_b,71019,13417
G7_T0_A2_2_b,78182,16362
G7_T0_S1_2_b,84950,12387
G7_T0_M2_2_c,58662,9765
G7_T96_M2_1_c,75862,12149
G7_T0_B1_c,70271,13059
G7_T0_B5_c,61432,12801
G7_T0_A1_2_c,53893,10901
G7_T0_A2_2_c,67378,13101
G7_T0_S1_2_c,61822,9717
G7_T0_M2_2_d,128888,22155
G7_T96_M2_1_d,49738,3598
G7_T0_B1_d,98571,17228
G7_T0_B5_d,31387,6788
G7_T0_A1_2_d,101861,19491
G7_T0_A2_2_d,125952,24298
G7_T0_S1_2_d,67669,11184
G7_T0_B2_a,71641,14600
G7_T0_M2_3_a,83869,14245
G7_T96_M2_2_a,66942,5941
G7_T0_B3_a,63226,12358
G7_T0_B6_a,39970,6355
G7_T0_A1_3_a,72793,14346
G7_T0_A2_3_a,71748,14685
NC_7_1,759,222
G7_T0_B2_b,78146,14676
G7_T0_M2_3_b,74079,12780
G7_T96_M2_2_b,48307,4258
G7_T0_B3_b,77146,12683
G7_T0_B6_b,66985,12523
G7_T0_A1_3_b,76248,7213
G7_T0_A2_3_b,65838,13636
NC_7_2,739,171
G7_T0_B2_c,47319,9465
G7_T0_M2_3_c,72797,14807
G7_T96_M2_2_c,46298,1938
G7_T0_B3_c,74942,15404
G7_T0_B6_c,69418,12801
G7_T0_A1_3_c,74124,15313
G7_T0_A2_3_c,70998,13663
NC_7_3,731,193
G7_T0_B2_d,68927,11495
G7_T0_M2_3_d,76201,15281
G7_T96_M2_2_d,93266,1569
G7_T0_B3_d,78319,14329
G7_T0_B6_d,63283,13428
G7_T0_A1_3_d,43771,8276
G7_T0_A2_3_d,77283,16214
G7_T0_S1_3_a,75435,9305
G7_T0_S2_3_a,78649,13449
G7_T0_C1_3_a,84454,14500
G7_T0_C2_3_a,81998,14580
G7_T0_M1_3_a,89123,11193
G7_T12_B4_a,75980,9522
G7_T12_A1_1_a,71110,10912
G7_T12_A2_1_a,64816,8909
G7_T0_S1_3_b,78269,14821
G7_T0_S2_3_b,75926,13894
G7_T0_C1_3_b,68068,13000
G7_T0_C2_3_b,130133,23261
G7_T0_M1_3_b,139288,24467
G7_T12_B4_b,58083,11105
G7_T12_A1_1_b,76556,8744
G7_T12_A2_1_b,73359,13109
G7_T0_S1_3_c,109840,22458
G7_T0_S2_3_c,79454,15293
G7_T0_C1_3_c,75181,13439
G7_T0_C2_3_c,79904,16655
G7_T0_M1_3_c,83622,14904
G7_T12_B4_c,83990,17247
G7_T12_A1_1_c,66757,11978
G7_T12_A2_1_c,81746,15458
G7_T0_S1_3_d,93962,18015
G7_T0_S2_3_d,66064,10035
G7_T0_C1_3_d,58531,7379
G7_T0_C2_3_d,73533,13913
G7_T0_M1_3_d,58022,11412
G7_T12_B4_d,56837,11138
G7_T12_A1_1_d,49693,9370
G7_T12_A2_1_d,75712,15325
G7_T0_S2_1_a,80272,10009
G7_T0_C1_1_a,71640,13332
G7_T0_C2_1_a,76197,14618
G7_T0_M1_1_a,52761,8281
G7_T12_B2_a,61377,11795
G7_T12_B5_a,66935,13587
