"","term","df","SumOfSqs","R2","statistic","p.value","Time","Treatment"
"1","Treatment",8,310.361071448291,0.0780805787668469,1.16453556928879,0.1,"0","NA"
"2","Residual",110,3664.52072822493,0.921919421233153,NA,NA,"0","NA"
"3","Total",118,3974.88179967322,1,NA,NA,"0","NA"
"4","Treatment",2,236.026673732019,0.166204573050806,3.88703160240311,0.001,"12","Blank-Mixture High-Mixture Low"
"5","Residual",39,1184.07067617586,0.833795426949194,NA,NA,"12","Blank-Mixture High-Mixture Low"
"6","Total",41,1420.09734990788,1,NA,NA,"12","Blank-Mixture High-Mixture Low"
"7","Treatment",2,233.998999936138,0.16276129189223,3.98525110160246,0.001,"24","Blank-Mixture High-Mixture Low"
"8","Residual",41,1203.68312469997,0.83723870810777,NA,NA,"24","Blank-Mixture High-Mixture Low"
"9","Total",43,1437.68212463611,1,NA,NA,"24","Blank-Mixture High-Mixture Low"
"10","Treatment",2,211.030702843456,0.149753312140842,3.52258501630644,0.001,"48","Blank-Mixture High-Mixture Low"
"11","Residual",40,1198.15818137289,0.850246687859158,NA,NA,"48","Blank-Mixture High-Mixture Low"
"12","Total",42,1409.18888421635,1,NA,NA,"48","Blank-Mixture High-Mixture Low"
"13","Treatment",2,318.940438581564,0.243253726567849,5.94676723163104,0.001,"96","Blank-Mixture High-Mixture Low"
"14","Residual",37,992.202634462391,0.756746273432151,NA,NA,"96","Blank-Mixture High-Mixture Low"
"15","Total",39,1311.14307304396,1,NA,NA,"96","Blank-Mixture High-Mixture Low"
"16","Treatment",2,91.0074412250322,0.0708116582373459,1.56226561249343,0.043,"12","Blank-Ampicillin High-Ampicillin Low"
"17","Residual",41,1194.19676794621,0.929188341762654,NA,NA,"12","Blank-Ampicillin High-Ampicillin Low"
"18","Total",43,1285.20420917124,1,NA,NA,"12","Blank-Ampicillin High-Ampicillin Low"
"19","Treatment",2,167.587949430398,0.110119067655417,2.5367898163503,0.001,"24","Blank-Ampicillin High-Ampicillin Low"
"20","Residual",41,1354.29153065031,0.889880932344583,NA,NA,"24","Blank-Ampicillin High-Ampicillin Low"
