ASV,MeanRelAbund,SD,Treatment,Time,Taxon,SamplesCombined
ASV4,12.648000000000001,14.1639622764402,Blank,0,ASV4,20
ASV8,0.156,0.4368596064978698,Blank,0,ASV8,20
ASV9,0,0,Blank,0,ASV9,20
ASV10,1.572,3.655187517689576,Blank,0,ASV10,20
ASV2,10.639999999999999,15.728951515898117,Blank,0,ASV2,20
ASV6,1.899,0.7399708386857303,Blank,0,ASV6,20
ASV5,0.494,1.8178888854932802,Blank,0,ASV5,20
ASV1,28.201999999999998,30.995581960218647,Blank,0,ASV1,20
ASV3,6.748,15.774434212891508,Blank,0,ASV3,20
ASV7,0.11399999999999999,0.311809658538498,Blank,0,ASV7,20
ASV4,16.732,16.114328896652,Blank,12,ASV4,20
ASV8,0.252,0.678989961944249,Blank,12,ASV8,20
ASV9,0,0,Blank,12,ASV9,20
ASV10,0.391,1.2732465755325098,Blank,12,ASV10,20
ASV2,9.039,10.1873863700476,Blank,12,ASV2,20
ASV6,0.7230000000000001,0.31664524396604443,Blank,12,ASV6,20
ASV5,1.0630000000000002,2.8644630249058256,Blank,12,ASV5,20
ASV1,39.378,32.74675132139466,Blank,12,ASV1,20
ASV3,6.998,17.284993065175293,Blank,12,ASV3,20
ASV7,0.264,0.9471641885122135,Blank,12,ASV7,20
ASV4,14.558961227098424,14.903648979880638,Blank,24,ASV4,20
ASV8,0.244,0.7711809126268622,Blank,24,ASV8,20
ASV9,0.232,0.9391238918324496,Blank,24,ASV9,20
ASV10,0.361,1.614441079754848,Blank,24,ASV10,20
ASV2,12.831999999999999,12.149812907374768,Blank,24,ASV2,20
ASV6,1.4297993182786537,0.6947058840175451,Blank,24,ASV6,20
ASV5,2.345,8.680775796036471,Blank,24,ASV5,20
ASV1,39.63362036642523,31.724309191987075,Blank,24,ASV1,20
ASV3,3.356,6.975052084317893,Blank,24,ASV3,20
ASV7,1.295,4.726168471505499,Blank,24,ASV7,20
ASV4,4.002999999999999,4.048205710396177,Blank,48,ASV4,20
ASV8,0,0,Blank,48,ASV8,20
ASV9,0.404,1.1271687866882274,Blank,48,ASV9,20
ASV10,0.024,0.09028609498349356,Blank,48,ASV10,20
ASV2,2.818,3.096054535083406,Blank,48,ASV2,20
ASV6,0.625,0.24741824806122165,Blank,48,ASV6,20
ASV5,3.033,6.992589385613135,Blank,48,ASV5,20
ASV1,53.105000000000004,33.779219943628064,Blank,48,ASV1,20
ASV3,3.476,7.629677788602526,Blank,48,ASV3,20
ASV7,1.7469999999999999,6.492561816984758,Blank,48,ASV7,20
ASV4,2.997894736842105,6.687610085446874,Blank,96,ASV4,19
ASV8,0.42210526315789476,1.3440386028986933,Blank,96,ASV8,19
ASV9,1.4157894736842105,1.9887861060050165,Blank,96,ASV9,19
ASV10,2.729473684210526,10.135542233855523,Blank,96,ASV10,19
ASV2,3.66,7.208118879276186,Blank,96,ASV2,19
ASV6,2.1294736842105264,0.7885392520647173,Blank,96,ASV6,19
ASV5,1.874736842105263,4.915588998754713,Blank,96,ASV5,19
ASV1,60.05789473684211,29.18642674999371,Blank,96,ASV1,19
ASV3,4.623157894736842,7.272136360895744,Blank,96,ASV3,19
ASV7,2.1399999999999997,6.547654372199084,Blank,96,ASV7,19
ASV4,3.026666666666667,2.849578384550418,Mixture Low,0,ASV4,12
ASV8,0.43,1.4209215959433448,Mixture Low,0,ASV8,12
ASV9,0.48833333333333334,1.1892077831544625,Mixture Low,0,ASV9,12
ASV10,4.66,15.057173464075943,Mixture Low,0,ASV10,12
ASV2,18.168333333333333,20.345968478628226,Mixture Low,0,ASV2,12
ASV6,1.586666666666667,2.959647808695344,Mixture Low,0,ASV6,12
ASV5,6.183333333333334,16.623726380925515,Mixture Low,0,ASV5,12
ASV1,35.27666666666667,35.2128167093469,Mixture Low,0,ASV1,12
ASV3,2.3633333333333333,4.71224195499597,Mixture Low,0,ASV3,12
ASV7,0.008333333333333333,0.02886751345948129,Mixture Low,0,ASV7,12
ASV4,4.383990198960859,6.822750912868421,Mixture Low,12,ASV4,11
ASV8,0.7954218937153454,1.6581932515533944,Mixture Low,12,ASV8,11
ASV9,0,0,Mixture Low,12,ASV9,11
ASV10,0,0,Mixture Low,12,ASV10,11
ASV2,6.852106203965616,7.062811081119912,Mixture Low,12,ASV2,11
ASV6,4.028171984835119,2.250698907429989,Mixture Low,12,ASV6,11
ASV5,13.071119985150734,21.162041439291293,Mixture Low,12,ASV5,11
ASV1,3.92628739552852,6.983735060755442,Mixture Low,12,ASV1,11
ASV3,0.01996814018319395,0.046430654418269796,Mixture Low,12,ASV3,11
ASV7,0,0,Mixture Low,12,ASV7,11
ASV4,3.124192006119717,5.842300466513618,Mixture Low,24,ASV4,12
ASV8,3.175,6.961113416688454,Mixture Low,24,ASV8,12
ASV9,0.17928858290304073,0.6210738696101826,Mixture Low,24,ASV9,12
ASV10,0.04666666666666667,0.16165807537309523,Mixture Low,24,ASV10,12
ASV2,1.098640594122522,1.5598509421473985,Mixture Low,24,ASV2,12
ASV6,1.7695671575189649,0.5122043543681967,Mixture Low,24,ASV6,12
ASV5,15.688439472174412,24.69517380369696,Mixture Low,24,ASV5,12
ASV1,5.309689870593485,10.448746021713886,Mixture Low,24,ASV1,12
ASV3,0.01,0.02486326242032244,Mixture Low,24,ASV3,12
ASV7,3.2233333333333336,8.111033263774758,Mixture Low,24,ASV7,12
ASV4,0.8844579785480148,2.9334152576799704,Mixture Low,48,ASV4,11
ASV8,2.2514614499424623,3.0635349732245527,Mixture Low,48,ASV8,11
ASV9,0,0,Mixture Low,48,ASV9,11
ASV10,1.069090909090909,2.5411865517724372,Mixture Low,48,ASV10,11
ASV2,1.4767779056386652,3.980451697960943,Mixture Low,48,ASV2,11
ASV6,6.024932346072726,9.147796296256486,Mixture Low,48,ASV6,11
ASV5,20.871285893970615,31.203448880425466,Mixture Low,48,ASV5,11
ASV1,5.141495972382049,8.99167701284599,Mixture Low,48,ASV1,11
ASV3,0.03229235038618926,0.06185829887851125,Mixture Low,48,ASV3,11
ASV7,6.308975834292291,15.99215159228825,Mixture Low,48,ASV7,11
ASV4,0.18,0.5058925505749938,Mixture Low,96,ASV4,12
ASV8,0.034999999999999996,0.08447700063546075,Mixture Low,96,ASV8,12
ASV9,0,0,Mixture Low,96,ASV9,12
ASV10,0.009538344143456695,0.03304179335308808,Mixture Low,96,ASV10,12
ASV2,1.6704952961365878,3.0002874771505628,Mixture Low,96,ASV2,12
ASV6,5.295859038292256,10.726389699501865,Mixture Low,96,ASV6,12
ASV5,3.8003767972235996,9.952517463342053,Mixture Low,96,ASV5,12
ASV1,0.19038422443586095,0.18101969047404723,Mixture Low,96,ASV1,12
ASV3,0.044040941900366816,0.07726734745366018,Mixture Low,96,ASV3,12
ASV7,3.122695538989469,6.841994615246054,Mixture Low,96,ASV7,12
ASV4,4.369090909090909,4.654162555273407,Mixture High,0,ASV4,11
ASV8,0.34181818181818185,1.1336826556123911,Mixture High,0,ASV8,11
ASV9,0,0,Mixture High,0,ASV9,11
ASV10,0.09090909090909091,0.2117288145460861,Mixture High,0,ASV10,11
ASV2,11.41090909090909,12.075553365825895,Mixture High,0,ASV2,11
ASV6,4.296363636363636,8.088667718144036,Mixture High,0,ASV6,11
ASV5,3.6563636363636363,11.100064209478495,Mixture High,0,ASV5,11
ASV1,34.82909090909091,33.102880072448514,Mixture High,0,ASV1,11
ASV3,6.738181818181818,9.277087709170177,Mixture High,0,ASV3,11
ASV7,0.3909090909090909,1.2379778232703085,Mixture High,0,ASV7,11
ASV4,2.412886472002207,5.609320380756686,Mixture High,12,ASV4,11
ASV8,1.857559617479724,4.573759125791511,Mixture High,12,ASV8,11
ASV9,0,0,Mixture High,12,ASV9,11
ASV10,0.27636363636363637,0.9165944875164013,Mixture High,12,ASV10,11
ASV2,2.1545454545454543,4.358138051132303,Mixture High,12,ASV2,11
ASV6,3.4086001022338643,2.2090208471568,Mixture High,12,ASV6,11
ASV5,22.132550160884122,22.5132410529641,Mixture High,12,ASV5,11
ASV1,1.7887670697572324,3.1781892253767374,Mixture High,12,ASV1,11
ASV3,0.012727272727272728,0.028667371379639636,Mixture High,12,ASV3,11
ASV7,2.8181818181818183,9.346851681910671,Mixture High,12,ASV7,11
ASV4,0.66,2.2863070659909184,Mixture High,24,ASV4,12
ASV8,0.3866666666666666,1.3394526245199316,Mixture High,24,ASV8,12
ASV9,0,0,Mixture High,24,ASV9,12
ASV10,0,0,Mixture High,24,ASV10,12
ASV2,5.236561942781861,6.7190973334670705,Mixture High,24,ASV2,12
ASV6,1.577322246112324,0.8009805450979728,Mixture High,24,ASV6,12
ASV5,11.60755619571137,13.714047258266726,Mixture High,24,ASV5,12
ASV1,5.837153968873432,11.42781994596978,Mixture High,24,ASV1,12
ASV3,0.0793282149712092,0.08598352383058382,Mixture High,24,ASV3,12
ASV7,3.613426103646833,6.4895629890588165,Mixture High,24,ASV7,12
ASV4,0.47333333333333333,0.7924339184761813,Mixture High,48,ASV4,12
ASV8,6.356699394837594,18.091915838852415,Mixture High,48,ASV8,12
ASV9,0,0,Mixture High,48,ASV9,12
ASV10,1.6885957558291853,3.030758420667191,Mixture High,48,ASV10,12
ASV2,2.8795402148283995,5.994492565498618,Mixture High,48,ASV2,12
ASV6,3.521498626989892,1.7238165826999952,Mixture High,48,ASV6,12
ASV5,28.63699544096983,32.66069499567797,Mixture High,48,ASV5,12
ASV1,7.506655328798185,12.659803133533124,Mixture High,48,ASV1,12
ASV3,0,0,Mixture High,48,ASV3,12
ASV7,1.660236827628156,2.8865197223359065,Mixture High,48,ASV7,12
ASV4,0.051423601128805646,0.10962247690823887,Mixture High,96,ASV4,9
ASV8,0.12159669390438621,0.3358338857433887,Mixture High,96,ASV8,9
ASV9,0.008888888888888889,0.02666666666666667,Mixture High,96,ASV9,9
ASV10,0.028888888888888888,0.08666666666666667,Mixture High,96,ASV10,9
ASV2,0.15825780919688964,0.25380863218228944,Mixture High,96,ASV2,9
ASV6,8.59673952440292,3.958579753925723,Mixture High,96,ASV6,9
ASV5,13.273676704947599,21.190914851659112,Mixture High,96,ASV5,9
ASV1,13.21895015703306,28.402621880090674,Mixture High,96,ASV1,9
ASV3,0.35976021845230677,0.7778355254996564,Mixture High,96,ASV3,9
ASV7,6.523572949303379,14.87774635945636,Mixture High,96,ASV7,9
ASV4,8.075000000000001,12.460194438873955,Ampicillin Low,0,ASV4,12
ASV8,0.14166666666666666,0.4032105999087671,Ampicillin Low,0,ASV8,12
ASV9,0,0,Ampicillin Low,0,ASV9,12
ASV10,1.1266666666666667,3.370592970042062,Ampicillin Low,0,ASV10,12
ASV2,5.005000000000001,7.1091138688306295,Ampicillin Low,0,ASV2,12
ASV6,2.091666666666667,0.9620984010657816,Ampicillin Low,0,ASV6,12
ASV5,0.4766666666666666,0.9021120000343974,Ampicillin Low,0,ASV5,12
ASV1,60.14166666666667,28.00185767647092,Ampicillin Low,0,ASV1,12
ASV3,3.7316666666666665,3.474901786272876,Ampicillin Low,0,ASV3,12
ASV7,0.4416666666666667,1.3576037267140506,Ampicillin Low,0,ASV7,12
ASV4,8.325000000000001,10.912811903279724,Ampicillin Low,12,ASV4,12
ASV8,1.1749999999999998,4.070319397786861,Ampicillin Low,12,ASV8,12
ASV9,0,0,Ampicillin Low,12,ASV9,12
ASV10,1.7316666666666667,5.9986692968802116,Ampicillin Low,12,ASV10,12
ASV2,25.78333333333333,19.102911407490332,Ampicillin Low,12,ASV2,12
ASV6,0.8283333333333334,0.21480787751482544,Ampicillin Low,12,ASV6,12
ASV5,6.659999999999999,11.95535026672159,Ampicillin Low,12,ASV5,12
ASV1,11.976666666666667,17.41666251993571,Ampicillin Low,12,ASV1,12
ASV3,0.4,1.3230543175821343,Ampicillin Low,12,ASV3,12
ASV7,2.818333333333333,5.575364371840451,Ampicillin Low,12,ASV7,12
ASV4,7.61987208427389,8.741932527359717,Ampicillin Low,24,ASV4,12
ASV8,3.5866666666666664,5.540812761735056,Ampicillin Low,24,ASV8,12
ASV9,3.7450000000000006,9.529167186733964,Ampicillin Low,24,ASV9,12
ASV10,1.09,3.054790574580433,Ampicillin Low,24,ASV10,12
ASV2,16.273808287477433,10.775224110791234,Ampicillin Low,24,ASV2,12
ASV6,1.634782271615979,1.0402270784702536,Ampicillin Low,24,ASV6,12
ASV5,8.553160270880362,16.896761399350797,Ampicillin Low,24,ASV5,12
ASV1,4.410498645357796,6.674650733287438,Ampicillin Low,24,ASV1,12
ASV3,0.06877386249720538,0.10902346058454489,Ampicillin Low,24,ASV3,12
ASV7,2.292960596379127,5.354535303138961,Ampicillin Low,24,ASV7,12
ASV4,1.32,1.47832829420753,Ampicillin Low,48,ASV4,12
ASV8,0.041666666666666664,0.08716059715817519,Ampicillin Low,48,ASV8,12
ASV9,0.023333333333333334,0.08082903768654762,Ampicillin Low,48,ASV9,12
ASV10,4.333333333333334,10.351436732369205,Ampicillin Low,48,ASV10,12
ASV2,36.88333333333333,18.794358599098697,Ampicillin Low,48,ASV2,12
ASV6,0.7183333333333333,0.2066984335311771,Ampicillin Low,48,ASV6,12
ASV5,10.620000000000001,24.26972075353455,Ampicillin Low,48,ASV5,12
ASV1,0.5,0.9723822667692336,Ampicillin Low,48,ASV1,12
ASV3,0.008333333333333333,0.0180067327475704,Ampicillin Low,48,ASV3,12
ASV7,0.19833333333333336,0.49215358529137176,Ampicillin Low,48,ASV7,12
ASV4,0.065,0.22516660498395402,Ampicillin Low,96,ASV4,12
ASV8,1.3983333333333334,3.183439630146593,Ampicillin Low,96,ASV8,12
ASV9,7.438333333333333,12.744911165090974,Ampicillin Low,96,ASV9,12
ASV10,0.31999999999999995,0.7675225788801975,Ampicillin Low,96,ASV10,12
ASV2,9.610000000000001,10.020772969641161,Ampicillin Low,96,ASV2,12
ASV6,3.9183333333333334,4.582730098043649,Ampicillin Low,96,ASV6,12
ASV5,13.903333333333334,28.222689561071356,Ampicillin Low,96,ASV5,12
ASV1,0.165,0.565307639496166,Ampicillin Low,96,ASV1,12
ASV3,0.013333333333333334,0.046188021535170064,Ampicillin Low,96,ASV3,12
ASV7,0.8716666666666666,3.0195419078617425,Ampicillin Low,96,ASV7,12
ASV4,8.27,19.834076278419968,Ampicillin High,0,ASV4,12
ASV8,1.18,2.8013762851336286,Ampicillin High,0,ASV8,12
ASV9,0.06999999999999999,0.24248711305964282,Ampicillin High,0,ASV9,12
ASV10,0.5666666666666667,1.241328711380257,Ampicillin High,0,ASV10,12
ASV2,6.41,7.096711146080914,Ampicillin High,0,ASV2,12
ASV6,1.7383333333333333,0.5660361911547438,Ampicillin High,0,ASV6,12
ASV5,0.008333333333333333,0.019924098397912437,Ampicillin High,0,ASV5,12
ASV1,39.42,26.324046386940935,Ampicillin High,0,ASV1,12
ASV3,14.093333333333332,14.954219430912428,Ampicillin High,0,ASV3,12
ASV7,1.8716666666666666,4.143748485990857,Ampicillin High,0,ASV7,12
ASV4,7.388049162361046,8.87116305882597,Ampicillin High,12,ASV4,12
ASV8,2.0883333333333334,5.299093976303588,Ampicillin High,12,ASV8,12
ASV9,0,0,Ampicillin High,12,ASV9,12
ASV10,0,0,Ampicillin High,12,ASV10,12
ASV2,18.16310944105214,16.216283625692103,Ampicillin High,12,ASV2,12
ASV6,2.4060936276812277,2.737707910912204,Ampicillin High,12,ASV6,12
ASV5,1.2,4.138045212635815,Ampicillin High,12,ASV5,12
ASV1,17.099123219038674,21.172934036856084,Ampicillin High,12,ASV1,12
ASV3,0.8334092688273055,2.799074585078973,Ampicillin High,12,ASV3,12
ASV7,0.4,1.3856406460551018,Ampicillin High,12,ASV7,12
ASV4,11.093333333333334,14.937161305910434,Ampicillin High,24,ASV4,12
ASV8,0.7066979887899769,1.4878432010482412,Ampicillin High,24,ASV8,12
ASV9,0.9716666666666667,3.3659520693755183,Ampicillin High,24,ASV9,12
ASV10,0,0,Ampicillin High,24,ASV10,12
ASV2,23.87833333333333,19.03996076835785,Ampicillin High,24,ASV2,12
ASV6,1.2730992416749094,0.7696103579606794,Ampicillin High,24,ASV6,12
ASV5,1.4016666666666666,4.836651421148414,Ampicillin High,24,ASV5,12
ASV1,1.814305967688757,4.346271906769133,Ampicillin High,24,ASV1,12
ASV3,0.025,0.03919647479510927,Ampicillin High,24,ASV3,12
ASV7,0.9433333333333334,1.9459764239127468,Ampicillin High,24,ASV7,12
ASV4,3.0472687609075044,4.150882857590801,Ampicillin High,48,ASV4,12
ASV8,1.3216666666666668,2.7966272977327966,Ampicillin High,48,ASV8,12
ASV9,9.701069536989579,20.895908662354536,Ampicillin High,48,ASV9,12
ASV10,2.9916666666666667,6.188002810913938,Ampicillin High,48,ASV10,12
ASV2,4.055632514493395,3.7145701910115188,Ampicillin High,48,ASV2,12
ASV6,2.1756374052595753,1.3163849119448157,Ampicillin High,48,ASV6,12
ASV5,3.2724519421283933,6.480382728995279,Ampicillin High,48,ASV5,12
ASV1,7.775,8.886063143024485,Ampicillin High,48,ASV1,12
ASV3,0.21287521815008728,0.27318683081901407,Ampicillin High,48,ASV3,12
ASV7,0.14166666666666666,0.43713599575861833,Ampicillin High,48,ASV7,12
ASV4,1.1566666666666667,2.7040284201482976,Ampicillin High,96,ASV4,12
ASV8,4.231666666666667,7.008423286995226,Ampicillin High,96,ASV8,12
ASV9,2.4516666666666667,5.588276418837326,Ampicillin High,96,ASV9,12
