"","Samples","Time","Treatment","Fragment","TreatmentTank","Antibiotic","Dose","Pretreatment","PretreatmentAbx","PretreatmentDose","Tank","CoralID","Sample_control","quant_reading","PreQC","PostQC","is.neg","PostDecontam","Observed","Shannon","InvSimpson","PD","SR"
"1","G7_T0_A1_1_a","0","Ampicillin Low","a","A1_1","Ampicillin","Low","Pretreatment","Pretreatment","Pretreatment","7","A1_1_a","True Sample","12.797"," 89544","17602","FALSE","17235",14,0.775901084947015,1.41532239345736,2.24335,14
"2","G7_T0_A1_1_b","0","Ampicillin Low","b","A1_1","Ampicillin","Low","Pretreatment","Pretreatment","Pretreatment","7","A1_1_b","True Sample"," 2.373"," 46084"," 6368","FALSE"," 5303",8,1.34733906417215,3.17660473812198,1.31863,8
"3","G7_T0_A1_1_c","0","Ampicillin Low","c","A1_1","Ampicillin","Low","Pretreatment","Pretreatment","Pretreatment","7","A1_1_c","True Sample","14.555"," 81802","16273","FALSE","16207",15,1.19356762975485,1.87213722136795,2.57584,15
"4","G7_T0_A1_1_d","0","Ampicillin Low","d","A1_1","Ampicillin","Low","Pretreatment","Pretreatment","Pretreatment","7","A1_1_d","True Sample"," 4.393"," 70357","12639","FALSE","10862",9,1.06419959424436,1.80066313381362,1.53972,9
"5","G7_T0_A1_2_a","0","Ampicillin Low","a","A1_2","Ampicillin","Low","Pretreatment","Pretreatment","Pretreatment","8","A1_2_a","True Sample","15.035"," 76830","16095","FALSE","15775",15,0.961819436429232,1.62407244350534,2.18599,15
"6","G7_T0_A1_2_b","0","Ampicillin Low","b","A1_2","Ampicillin","Low","Pretreatment","Pretreatment","Pretreatment","8","A1_2_b","True Sample"," 3.976"," 71019","13417","FALSE","10625",10,1.24150464604593,2.16180131662347,1.7881,10
"7","G7_T0_A1_2_c","0","Ampicillin Low","c","A1_2","Ampicillin","Low","Pretreatment","Pretreatment","Pretreatment","8","A1_2_c","True Sample"," 2.118"," 53893","10901","FALSE"," 9198",9,1.2765291087455,2.68999256055657,1.43895,9
"8","G7_T0_A1_2_d","0","Ampicillin Low","d","A1_2","Ampicillin","Low","Pretreatment","Pretreatment","Pretreatment","8","A1_2_d","True Sample"," 4.755","101861","19491","FALSE","18802",9,0.89127309536204,1.60995005806124,1.7096,9
"9","G7_T0_A1_3_a","0","Ampicillin Low","a","A1_3","Ampicillin","Low","Pretreatment","Pretreatment","Pretreatment","9","A1_3_a","True Sample"," 6.324"," 72793","14346","FALSE","12879",12,1.29458812075714,2.06335421832962,2.03811,12
"10","G7_T0_A1_3_b","0","Ampicillin Low","b","A1_3","Ampicillin","Low","Pretreatment","Pretreatment","Pretreatment","9","A1_3_b","True Sample","14.006"," 76248"," 7213","FALSE"," 6908",24,1.86974545911495,3.46986367877168,2.90406,24
"11","G7_T0_A1_3_c","0","Ampicillin Low","c","A1_3","Ampicillin","Low","Pretreatment","Pretreatment","Pretreatment","9","A1_3_c","True Sample"," 7.189"," 74124","15313","FALSE","14500",5,0.473808847317534,1.26334764689373,0.87735,5
"12","G7_T0_A1_3_d","0","Ampicillin Low","d","A1_3","Ampicillin","Low","Pretreatment","Pretreatment","Pretreatment","9","A1_3_d","True Sample"," 1.817"," 43771"," 8276","FALSE"," 6154",9,1.84583073955733,5.45246519037173,1.4113,9
"13","G7_T0_A2_1_a","0","Ampicillin High","a","A2_1","Ampicillin","High","Pretreatment","Pretreatment","Pretreatment","10","A2_1_a","True Sample"," 2.016"," 96106","15794","FALSE"," 9092",10,1.08382882225547,1.78200796372231,1.82159,10
"14","G7_T0_A2_1_b","0","Ampicillin High","b","A2_1","Ampicillin","High","Pretreatment","Pretreatment","Pretreatment","10","A2_1_b","True Sample"," 2.801"," 78652","14446","FALSE","10990",11,1.55631249465508,3.30878129379172,1.72299,11
"15","G7_T0_A2_1_c","0","Ampicillin High","c","A2_1","Ampicillin","High","Pretreatment","Pretreatment","Pretreatment","10","A2_1_c","True Sample"," 9.032"," 79401","17299","FALSE","17108",11,0.865003434297186,1.52837707140944,1.97825,11
"16","G7_T0_A2_1_d","0","Ampicillin High","d","A2_1","Ampicillin","High","Pretreatment","Pretreatment","Pretreatment","10","A2_1_d","True Sample"," 9.780"," 90407","18242","FALSE","17380",14,0.887858980272995,1.52428168530436,1.82122,14
"17","G7_T0_A2_2_a","0","Ampicillin High","a","A2_2","Ampicillin","High","Pretreatment","Pretreatment","Pretreatment","11","A2_2_a","True Sample"," 6.254"," 74048","15629","FALSE","14413",18,1.45036837051663,2.92991937565059,2.50793,18
"18","G7_T0_A2_2_b","0","Ampicillin High","b","A2_2","Ampicillin","High","Pretreatment","Pretreatment","Pretreatment","11","A2_2_b","True Sample"," 3.517"," 78182","16362","FALSE","12601",16,1.78878209222045,4.13909340609308,2.00362,16
"19","G7_T0_A2_2_c","0","Ampicillin High","c","A2_2","Ampicillin","High","Pretreatment","Pretreatment","Pretreatment","11","A2_2_c","True Sample"," 8.227"," 67378","13101","FALSE","12520",7,1.34615337335016,2.89182960969785,1.23486,7
"20","G7_T0_A2_2_d","0","Ampicillin High","d","A2_2","Ampicillin","High","Pretreatment","Pretreatment","Pretreatment","11","A2_2_d","True Sample"," 6.940","125952","24298","FALSE","21623",40,3.07048352426714,14.0470271995397,5.07727,40
"21","G7_T0_A2_3_a","0","Ampicillin High","a","A2_3","Ampicillin","High","Pretreatment","Pretreatment","Pretreatment","12","A2_3_a","True Sample","15.607"," 71748","14685","FALSE","14206",27,1.59159477356758,2.45586177859797,3.74531,27
"22","G7_T0_A2_3_b","0","Ampicillin High","b","A2_3","Ampicillin","High","Pretreatment","Pretreatment","Pretreatment","12","A2_3_b","True Sample"," 2.787"," 65838","13636","FALSE","12297",14,1.77635213578958,4.69887538995967,2.25704,14
"23","G7_T0_A2_3_c","0","Ampicillin High","c","A2_3","Ampicillin","High","Pretreatment","Pretreatment","Pretreatment","12","A2_3_c","True Sample"," 1.986"," 70998","13663","FALSE","13030",25,2.44754191167223,7.95012662961696,3.71571,25
"24","G7_T0_A2_3_d","0","Ampicillin High","d","A2_3","Ampicillin","High","Pretreatment","Pretreatment","Pretreatment","12","A2_3_d","True Sample"," 2.962"," 77283","16214","FALSE","15037",11,1.65899764887974,4.1662208810324,1.63597,11
"25","G7_T0_B1_a","0","Blank","a","B1","Blank","Blank","Pretreatment","Pretreatment","Pretreatment","1","B1_a","True Sample","10.274"," 89066","15348","FALSE","14985",28,3.08130790242466,19.1019048419508,4.08725,28
"26","G7_T0_B1_b","0","Blank","b","B1","Blank","Blank","Pretreatment","Pretreatment","Pretreatment","1","B1_b","True Sample"," 2.670"," 58032","11292","FALSE"," 5856",10,1.94116642155294,5.78777390640012,1.69991,10
"27","G7_T0_B1_c","0","Blank","c","B1","Blank","Blank","Pretreatment","Pretreatment","Pretreatment","1","B1_c","True Sample"," 4.060"," 70271","13059","FALSE","12166",9,1.12733978326948,1.94536875398509,1.75765,9
"28","G7_T0_B1_d","0","Blank","d","B1","Blank","Blank","Pretreatment","Pretreatment","Pretreatment","1","B1_d","True Sample"," 6.637"," 98571","17228","FALSE","17228",31,2.66292196472229,8.89430927861459,3.75832,31
"29","G7_T0_B2_a","0","Blank","a","B2","Blank","Blank","Pretreatment","Pretreatment","Pretreatment","2","B2_a","True Sample"," 4.846"," 71641","14600","FALSE","13739",8,0.611683897874611,1.36544272022406,1.14517,8
"30","G7_T0_B2_b","0","Blank","b","B2","Blank","Blank","Pretreatment","Pretreatment","Pretreatment","2","B2_b","True Sample","15.043"," 78146","14676","FALSE","14449",17,0.950460189782832,1.63367257960298,2.63828,17
"31","G7_T0_B2_c","0","Blank","c","B2","Blank","Blank","Pretreatment","Pretreatment","Pretreatment","2","B2_c","True Sample"," 7.025"," 47319"," 9465","FALSE"," 8458",10,2.01215167923264,6.65365035227086,1.87119,10
