"","statistic","p.value","parameter","method","Time","QC"
"1",5.39373278236917,0.249229566939694,4,"Kruskal-Wallis rank sum test","0","Pre-QC"
"2",19.2161505117007,0.000712693054971037,4,"Kruskal-Wallis rank sum test","12","Pre-QC"
"3",12.7034703801945,0.012819359054994,4,"Kruskal-Wallis rank sum test","24","Pre-QC"
"4",13.3926057623362,0.00950856019521387,4,"Kruskal-Wallis rank sum test","48","Pre-QC"
"5",11.7867049084154,0.0190099088104578,4,"Kruskal-Wallis rank sum test","96","Pre-QC"
"6",4.40197616368842,0.354329309966627,4,"Kruskal-Wallis rank sum test","0","Post-QC"
"7",36.7138022293202,2.06316980190156e-07,4,"Kruskal-Wallis rank sum test","12","Post-QC"
"8",39.0134099616859,6.92215867344316e-08,4,"Kruskal-Wallis rank sum test","24","Post-QC"
"9",43.2888379328434,9.01383202184029e-09,4,"Kruskal-Wallis rank sum test","48","Post-QC"
"10",20.0847905167034,0.000480514439398407,4,"Kruskal-Wallis rank sum test","96","Post-QC"
